ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202187_s_at	0.5018144	2.04e-01	1.2727722	-5.20228	0.09407525	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
220311_at	0.5018144	2.04e-01	1.2727527	-5.2023	0.25492084	N6AMT1	N-6 adenine-specific DNA methyltransferase 1 (putative)
221867_at	0.5018144	2.04e-01	1.2726977	-5.20236	0.13131354	N4BP1	NEDD4 binding protein 1
218157_x_at	0.5018144	2.04e-01	-1.2725992	-5.20248	-0.0862498	CDC42SE1	CDC42 small effector 1
205723_at	0.5018144	2.04e-01	-1.2725949	-5.20249	-0.16252886	CNTFR	ciliary neurotrophic factor receptor
210471_s_at	0.5018505	2.04e-01	-1.2724081	-5.20271	-0.15505578	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
200880_at	0.5018505	2.04e-01	1.2723944	-5.20272	0.07475749	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1
211577_s_at	0.5018505	2.04e-01	-1.2723629	-5.20276	-0.18610695	IGF1	insulin like growth factor 1
205837_s_at	0.5020213	2.04e-01	-1.2720108	-5.20318	-0.26735816	GYPA	glycophorin A (MNS blood group)
201739_at	0.5020213	2.04e-01	-1.2719792	-5.20322	-0.14721729	SGK1	serum/glucocorticoid regulated kinase 1
210610_at	0.5020213	2.04e-01	-1.2719764	-5.20322	-0.15306801	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
215219_at	0.5021712	2.04e-01	-1.2717409	-5.2035	-0.22827174	DOPEY2	dopey family member 2
39835_at	0.5022078	2.05e-01	-1.2716354	-5.20362	-0.1533106	SBF1	SET binding factor 1
209905_at	0.5022252	2.05e-01	-1.2715519	-5.20372	-0.30747044	HOXA10-HOXA9///MIR196B///HOXA9	HOXA10-HOXA9 readthrough///microRNA 196b///homeobox A9
215172_at	0.5024106	2.05e-01	-1.2712758	-5.20405	-0.36949767	PTPN20	protein tyrosine phosphatase, non-receptor type 20
220151_at	0.5024781	2.05e-01	-1.2711349	-5.20422	-0.18383832	C19orf73	chromosome 19 open reading frame 73
205554_s_at	0.5026012	2.05e-01	-1.270892	-5.20451	-0.12305227	DNASE1L3	deoxyribonuclease 1 like 3
211586_s_at	0.5026012	2.05e-01	-1.2707826	-5.20464	-0.11312556	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
211958_at	0.5026012	2.05e-01	-1.2707663	-5.20465	-0.18469167	IGFBP5	insulin like growth factor binding protein 5
206322_at	0.5026012	2.05e-01	-1.2707397	-5.20469	-0.18124971	SYN3	synapsin III
212733_at	0.5028283	2.05e-01	-1.2703277	-5.20517	-0.06375088	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein
206629_at	0.5028283	2.05e-01	-1.2702954	-5.20521	-0.11105332	ADAMTSL2	ADAMTS like 2
213686_at	0.5028283	2.05e-01	1.2702275	-5.20529	0.07911673	VPS13A	vacuolar protein sorting 13 homolog A
205493_s_at	0.5028283	2.05e-01	1.2702255	-5.2053	0.27048744	DPYSL4	dihydropyrimidinase like 4
221922_at	0.5029626	2.05e-01	1.2700081	-5.20555	0.15381821	GPSM2	G-protein signaling modulator 2
200775_s_at	0.5030054	2.05e-01	-1.2698447	-5.20575	-0.05810346	HNRNPK	heterogeneous nuclear ribonucleoprotein K
AFFX-r2-Ec-bioC-3_at	0.5030054	2.05e-01	1.2697872	-5.20581	0.09972814		
